,Relationship,Connection,Shared Channels,Last interaction,Supporting their growth,Supporting my growth
Dave Smith,Direct Report,Strong,"#teamchannel, #projectalpha",08/04/25,TRUE,FALSE
Alice Sanchez,Peer,Weak,#projectalpha,10/04/24,FALSE,FALSE
Thomas Carter,Partner,Neutral,#collab_eng,06/02/25,FALSE,FALSE
Grace Kim,Leader,Strong,"#leadershipchannel, #teammanagers",07/26/25,FALSE,TRUE
Lena Prior,Exec,Weak,,,FALSE,FALSE
John Doe,Peer,Strong,#mentorship,08/01/25,TRUE,FALSE
Jane Roe,Partner,Neutral,#designteam,07/15/25,FALSE,FALSE
Peter Pan,Direct Report,Strong,#alumninetwork,06/30/25,TRUE,FALSE
Wendy Darling,Leader,Neutral,#clientupdates,07/20/25,FALSE,TRUE
Captain Hook,Exec,Neutral,,,FALSE,TRUE
Tinker Bell,Peer,Strong,#projectpixie,08/03/25,FALSE,FALSE
Smee,Partner,Neutral,#vendorrelations,07/10/25,FALSE,FALSE
Tiger Lily,Direct Report,Strong,#communityforum,05/01/25,TRUE,FALSE
Michael Darling,Leader,Neutral,#interns2025,07/28/25,FALSE,FALSE
George Darling,Exec,Strong,#advisoryboard,07/22/25,FALSE,TRUE
